"","algorithm","var","imp"
"16","SRE-SGL","retcalls",100
"7","SRE-SGL","eqpdays",64.444839282678
"2","SRE-SGL","changem",37.6607190187864
"17","SRE-SGL","revenue",21.9401007217157
"10","SRE-SGL","mou",14.4081721686072
"4","SRE-SGL","creditde",13.9625998773682
"15","SRE-SGL","recchrge",12.8851897038297
"3","SRE-SGL","changem_M",3.21037179160521
"5","SRE-SGL","custcare",1.43851473111532
"8","SRE-SGL","incalls",0.749165686590469
"6","SRE-SGL","directas",0.260817444303699
"71","SRE","eqpdays",100
"161","SRE","retcalls",94.3690730580225
"171","SRE","revenue",58.6347958622884
"21","SRE","changem",47.2343164110224
"151","SRE","recchrge",27.6903152884017
"101","SRE","mou",22.4470102067855
"41","SRE","creditde",16.6416494799097
"19","SRE","setprcm",15.7953525513683
"20","SRE","webcap",10.8040321420484
"9","SRE","models",9.60693265610963
"31","SRE","changem_M",3.82373298968038
"81","SRE","incalls",2.22716651666102
"51","SRE","custcare",1.98658660196953
"61","SRE","directas",0.931849785354941
"13","SRE","outcalls",0.510849000440369
"1","SRE","callwait",0.326972605348701
"72","RE","eqpdays",100
"162","RE","retcalls",87.6604296874542
"22","RE","changem",41.707808372068
"152","RE","recchrge",28.393257776368
"172","RE","revenue",25.2133851254067
"42","RE","creditde",12.1224102268111
"201","RE","webcap",9.42833315082115
"82","RE","incalls",5.6801418933056
"32","RE","changem_M",2.35822219017547
